Category,Method Type,Strength,Limitation,Relevance to VVA
Edge AI,Silero VAD (2021),Lightweight voice activity detection,Occasional false triggers in noisy environments,VAD component in VVA's speech pipeline
Edge AI,FAISS (Johnson 2021),Billion-scale similarity search,CPU-only for approximate search,Vector index for VVA's memory module
Edge AI,FastAPI (Ramirez 2021),Modern async Python web framework,Not designed for real-time streaming,REST API server for VVA
Multimodal,Emotion Recognition (Park 2022),Multi-channel facial response via wearable,Glasses-specific hardware,Informs VVA's social cue analyzer
Multimodal,Accessibility ML Review (Garcia 2024),Comprehensive review of ML for accessibility,Most systems address single modality,VVA bridges gap with 12 modalities
Multimodal,Tilt Correction Building (Li 2023),Geometric correction for detection,Remote sensing specific,Deskew concept applied in VVA's OCR
Edge AI,Real-Time Edge Detection (Chen 2020),INT8 quantization cuts latency 40%,Less than 1% mAP drop,Informs VVA's quantization roadmap
Assistive Robotics,Personal Object Recognizer (Kacorri 2019),VI users training own recognizers,Small-scale feasibility study,User-customization concept relevant to VVA
Navigation,Wearable Navigation Survey (Real 2019),Identifies latency battery social acceptance,Survey only no implementation,Key requirements adopted by VVA
Assistive Tech,Wearable Assistive Survey (Tapu 2020),Comprehensive state-of-art of wearable aids,Gap in multimodal fusion coverage,VVA fills identified fusion gap
Education,Assistive Tech Education (Kumar 2022),Systematic review of AT in education for VI,Limited to educational settings,VVA applicable to education scenarios
Health/Accessibility,Global Eye Health (Burton 2022),2.2B affected USD 400B economic cost,Policy-focused not technical,Motivates VVA's target population
Health/Accessibility,Disability & Tech Access (Martin 2021),Health service access for disabled via AT,Identifies barriers to adoption,VVA addresses technology barrier
Health/Accessibility,Sustainability in AT (Hersh 2020),Framework for sustainable assistive tech,Conceptual framework not implementation,VVA's local-first design aligns
Health/Accessibility,Digital Rehab Tech (Williams 2024),Scoping review of digital rehabilitation,Few studies on VI-specific digital rehab,VVA contributes to this gap
Health/Accessibility,Wearable Health Review (Mardonova 2017),Wearable sensors for safety monitoring,Mining-focused not VI-specific,Sensor fusion concepts transfer to VVA
